,Año,Trimestre,Provincia,Accesos por cada 100 hogares
0,2022,3,Buenos Aires,78
1,2022,3,Capital Federal,122
2,2022,3,Catamarca,65
3,2022,3,Chaco,44
4,2022,3,Chubut,84
5,2022,3,Córdoba,88
6,2022,3,Corrientes,48
7,2022,3,Entre Ríos,64
8,2022,3,Formosa,44
9,2022,3,Jujuy,59
10,2022,3,La Pampa,97
11,2022,3,La Rioja,81
12,2022,3,Mendoza,51
13,2022,3,Misiones,52
14,2022,3,Neuquén,80
15,2022,3,Río Negro,68
16,2022,3,Salta,58
17,2022,3,San Juan,51
18,2022,3,San Luis,82
19,2022,3,Santa Cruz,43
20,2022,3,Santa Fe,79
21,2022,3,Santiago Del Estero,48
22,2022,3,Tierra Del Fuego,100
23,2022,3,Tucumán,61
24,2022,2,Buenos Aires,78
25,2022,2,Capital Federal,121
26,2022,2,Catamarca,62
27,2022,2,Chaco,44
28,2022,2,Chubut,83
29,2022,2,Córdoba,87
30,2022,2,Corrientes,48
31,2022,2,Entre Ríos,64
32,2022,2,Formosa,43
33,2022,2,Jujuy,57
34,2022,2,La Pampa,93
35,2022,2,La Rioja,80
36,2022,2,Mendoza,49
37,2022,2,Misiones,51
38,2022,2,Neuquén,80
39,2022,2,Río Negro,68
40,2022,2,Salta,58
41,2022,2,San Juan,49
42,2022,2,San Luis,82
43,2022,2,Santa Cruz,43
44,2022,2,Santa Fe,78
45,2022,2,Santiago Del Estero,48
46,2022,2,Tierra Del Fuego,100
47,2022,2,Tucumán,59
48,2022,1,Buenos Aires,76
49,2022,1,Capital Federal,112
50,2022,1,Catamarca,58
51,2022,1,Chaco,44
52,2022,1,Chubut,88
53,2022,1,Córdoba,86
54,2022,1,Corrientes,48
55,2022,1,Entre Ríos,64
56,2022,1,Formosa,35
57,2022,1,Jujuy,58
58,2022,1,La Pampa,92
59,2022,1,La Rioja,79
60,2022,1,Mendoza,49
61,2022,1,Misiones,49
62,2022,1,Neuquén,74
63,2022,1,Río Negro,67
64,2022,1,Salta,56
65,2022,1,San Juan,44
66,2022,1,San Luis,81
67,2022,1,Santa Cruz,43
68,2022,1,Santa Fe,77
69,2022,1,Santiago Del Estero,47
70,2022,1,Tierra Del Fuego,98
71,2022,1,Tucumán,57
72,2021,4,Buenos Aires,76
73,2021,4,Capital Federal,111
74,2021,4,Catamarca,55
75,2021,4,Chaco,44
76,2021,4,Chubut,83
77,2021,4,Córdoba,85
78,2021,4,Corrientes,46
79,2021,4,Entre Ríos,63
80,2021,4,Formosa,34
81,2021,4,Jujuy,57
82,2021,4,La Pampa,90
83,2021,4,La Rioja,78
84,2021,4,Mendoza,48
85,2021,4,Misiones,49
86,2021,4,Neuquén,73
87,2021,4,Río Negro,66
88,2021,4,Salta,57
89,2021,4,San Juan,40
90,2021,4,San Luis,80
91,2021,4,Santa Cruz,43
92,2021,4,Santa Fe,77
93,2021,4,Santiago Del Estero,47
94,2021,4,Tierra Del Fuego,98
95,2021,4,Tucumán,56
96,2021,3,Buenos Aires,72
97,2021,3,Capital Federal,111
98,2021,3,Catamarca,53
99,2021,3,Chaco,43
100,2021,3,Chubut,81
101,2021,3,Córdoba,81
102,2021,3,Corrientes,45
103,2021,3,Entre Ríos,62
104,2021,3,Formosa,34
105,2021,3,Jujuy,56
106,2021,3,La Pampa,84
107,2021,3,La Rioja,77
108,2021,3,Mendoza,46
109,2021,3,Misiones,46
110,2021,3,Neuquén,70
